Rank,Name,Symbol,marketcap,price (USD),country
1007,T. Rowe Price,TROW,23289817088,106.0,United States
1008,KeyCorp (KeyBank),KEY,23279185920,21.3,United States
1009,Darden Restaurants,DRI,23235999744,199.77,United States
1014,Formula One Group,FWONK,23185029120,92.72,United States
1016,PulteGroup,PHM,23141031936,117.29,United States
1018,Illumina,ILMN,23076517888,150.14,United States
1020,Carlyle Group,CG,23044218880,63.71,United States
1023,First Quantum Minerals,FM.TO,22956933025,27.5195,Canada
1027,General Mills,GIS,22917351424,42.95,United States
1029,Williams-Sonoma,WSM,22901995520,191.84,United States
1033,United Therapeutics,UTHR,22780016640,503.69,United States
1034,VeriSign,VRSN,22771146752,243.78,United States
1036,Pure Storage,PSTG,22646472704,68.59,United States
1037,Corpay,CPAY,22640384000,320.62,United States
1040,Pan American Silver,PAAS,22516207616,53.35,Canada
1041,Edison International,EIX,22497396736,58.46,United States
1042,Centene,CNC,22496780288,45.77,United States
1047,Southwest Airlines,LUV,22394003456,42.64,United States
1057,Curtiss-Wright,CW,21973121024,583.18,United States
1058,Twilio,TWLO,21925660672,142.9,United States
1062,Ralph Lauren,RL,21887637504,360.94,United States
1063,Devon Energy,DVN,21881556992,34.47,United States
1064,Loews Corporation,L,21873113088,105.45,United States
1067,BCE,BCE,21755828224,23.33,Canada
1069,Incyte,INCY,21707401216,110.57,United States
1071,SS&C Technologies,SSNC,21596430336,88.43,United States
1081,Expeditors,EXPD,21294235648,156.9,United States
1086,Casey's General Stores,CASY,21261963264,573.61,United States
1087,Pembina Pipeline,PBA,21215635456,36.52,Canada
1090,CMS Energy,CMS,21168482304,69.56,United States
1093,LabCorp,LH,21084962816,253.73,United States
1097,Insulet,PODD,21059336192,299.17,United States
1100,HubSpot,HUBS,20983451648,398.22,United States
1104,International Paper,IP,20889196544,39.56,United States
1107,PTC,PTC,20852084736,174.57,United States
1108,NetApp,NTAP,20822192128,104.31,United States
1121,Royal Gold,RGLD,20485097472,242.72,United States
1123,Church & Dwight,CHD,20433897472,83.88,United States
1126,Telus,TU,20395073536,13.15,Canada
1131,Principal Financial Group,PFG,20245196800,90.88,United States
1141,CGI,GIB,20033875968,91.99,Canada
1142,West Pharmaceutical,WST,20031922176,278.44,United States
1146,Lundin Gold,LUG.TO,19958428336,82.6667,Canada
